Strain,Gene and Allele,Phenotypic or Functional Class,Color code,
EG106,unc-2(ox106),Uncoordinated,,
DR2,unc-26(m2),Uncoordinated,,
CB193,unc-29(e193),Uncoordinated,,
CB151,unc-3(e151),Uncoordinated,,
CB845,unc-30(e191),Uncoordinated,,
CB169,unc-31(e169),Uncoordinated,,
CB566,unc-34(e566),Uncoordinated,,
CB262,unc-37(e262),Uncoordinated,,
CB904,unc-38(e264),Uncoordinated,,
CB120,unc-4(e120),Uncoordinated,,
VC1528,unc-4(gk705),Uncoordinated,,
MT324,unc-40(n324),Uncoordinated,,
CB270,unc-42(e270),Uncoordinated,,
CB755,unc-43(e755),Uncoordinated,,
CB1197,unc-44(e1197),Uncoordinated,,
CB402,unc-55(e402),Uncoordinated,,
CB723,unc-60(e723),Uncoordinated,,
VC731,unc-63(ok1075),Uncoordinated,,
CB587,unc-69(e587),Uncoordinated,,
CB5,unc-7(e5),Uncoordinated,,
CB950,unc-75(e950),Uncoordinated,,
VC12,unc-77(gk9),Uncoordinated,,
DR1089,unc-77(e625),Uncoordinated,,
CB1068,unc-79(e1068),Uncoordinated,,
CB15,unc-8(e15),Uncoordinated,,
MP145,unc-8(e15lb145),Uncoordinated,,
MT2611,unc-8(n491n1192),Uncoordinated,,
CB1069,unc-80(e1069),Uncoordinated,,
CB1416,unc-86(e1416),Uncoordinated,,
RW85,unc-89(st85),Uncoordinated,,
CB1460,unc-89(e1460),Uncoordinated,,
CB101,unc-9(e101),Uncoordinated,,
HE130,unc-98(su130),Uncoordinated,,
CB1562,vab-7(e1562),other,,
RB1883,W03B1.2(ok2433),Transient Receptor Potential Channel,,
RB1356,Y69H2.2(ok1522),Deg/ENaC Channel,,
DH244,zyg-9(b244),other,,
